country,years,value
Spain,1970,0
Sri Lanka,1970,0
St. Kitts and Nevis,1970,0
St. Lucia,1970,0
St. Vincent and the Grenadines,1970,0
Sudan,1970,0
Sweden,1970,0
Switzerland,1970,0
Syria,1970,0
Tajikistan,1970,0
Tanzania,1970,0
Thailand,1970,0
Timor-Leste,1970,0
Tonga,1970,0
Trinidad and Tobago,1970,0
Turkey,1970,0
Tuvalu,1970,0
Uganda,1970,0
Ukraine,1970,0
United Kingdom,1970,0
United States,1970,37
Uruguay,1970,0
Vanuatu,1970,0
Venezuela,1970,0
Vietnam,1970,0
Yemen,1970,0
Zimbabwe,1970,0
Afghanistan,1971,0
Albania,1971,0
Algeria,1971,0
Antigua and Barbuda,1971,0
Argentina,1971,0
Australia,1971,3
Austria,1971,0
Bahamas,1971,0
Bangladesh,1971,163
Barbados,1971,0
Belarus,1971,0
Belgium,1971,0
Belize,1971,0
Bhutan,1971,0
Bolivia,1971,0
Bosnia and Herzegovina,1971,0
Brazil,1971,0
Bulgaria,1971,0
Burundi,1971,0
Cambodia,1971,0
Canada,1971,0
Cape Verde,1971,0
Central African Republic,1971,0
Chad,1971,0
Chile,1971,90000
China,1971,0
Colombia,1971,0
Comoros,1971,0
"Congo, Dem. Rep.",1971,0
Costa Rica,1971,0
Croatia,1971,0
Cuba,1971,0
Cyprus,1971,0
Czech Republic,1971,0
Denmark,1971,0
Djibouti,1971,0
Dominica,1971,0
Dominican Republic,1971,0
Egypt,1971,0
El Salvador,1971,0
Eritrea,1971,0
Estonia,1971,0
Eswatini,1971,0
Fiji,1971,0
Finland,1971,0
France,1971,0
Gambia,1971,0
Georgia,1971,0
Germany,1971,0
Greece,1971,0
Grenada,1971,0
Guatemala,1971,0
Guinea,1971,0
Guinea-Bissau,1971,0
Haiti,1971,0
Honduras,1971,0
Hungary,1971,0
India,1971,6910000
Indonesia,1971,0
Iran,1971,0
Ireland,1971,0
Israel,1971,0
Italy,1971,0
Jamaica,1971,0
Japan,1971,135
Jordan,1971,0
Kazakhstan,1971,0
Kenya,1971,0
Kiribati,1971,0
Kyrgyz Republic,1971,0
Lao,1971,0
Latvia,1971,0
Lebanon,1971,0
Lesotho,1971,0
Liberia,1971,0
Lithuania,1971,0
Luxembourg,1971,0
Madagascar,1971,0
Malawi,1971,0
Malaysia,1971,0
Maldives,1971,0
Marshall Islands,1971,0
Mauritania,1971,0
Mauritius,1971,0
Mexico,1971,17
"Micronesia, Fed. Sts.",1971,0
Moldova,1971,0
Mongolia,1971,0
Morocco,1971,0
Mozambique,1971,0
Myanmar,1971,0
Nepal,1971,0
Netherlands,1971,0
New Zealand,1971,0
Nicaragua,1971,4690
Niger,1971,0
Nigeria,1971,0
North Korea,1971,0
North Macedonia,1971,0
Norway,1971,0
Oman,1971,0
Pakistan,1971,0
Panama,1971,0
Papua New Guinea,1971,0
Paraguay,1971,0
Peru,1971,0
Philippines,1971,46800
Poland,1971,0
Portugal,1971,0
Romania,1971,0
Russia,1971,0
Samoa,1971,0
Saudi Arabia,1971,0
Senegal,1971,0
Seychelles,1971,0
Sierra Leone,1971,0
Slovak Republic,1971,0
Slovenia,1971,0
Solomon Islands,1971,0
Somalia,1971,0
South Africa,1971,0
South Korea,1971,159
Spain,1971,0
Sri Lanka,1971,0
St. Kitts and Nevis,1971,0
St. Lucia,1971,0
St. Vincent and the Grenadines,1971,0
Sudan,1971,0
Sweden,1971,0
Switzerland,1971,0
Syria,1971,0
Tajikistan,1971,0
Tanzania,1971,0
Thailand,1971,0
Timor-Leste,1971,0
Tonga,1971,0
Trinidad and Tobago,1971,0
Turkey,1971,0
Tuvalu,1971,0
Uganda,1971,0
Ukraine,1971,0
United Kingdom,1971,0
United States,1971,158
Uruguay,1971,0
Vanuatu,1971,0
Venezuela,1971,0
Vietnam,1971,50100
Yemen,1971,0
Zimbabwe,1971,0
Afghanistan,1972,0
Albania,1972,0
Algeria,1972,0
Antigua and Barbuda,1972,0
Argentina,1972,0
Australia,1972,0
Austria,1972,0
Bahamas,1972,0
Bangladesh,1972,25200
Barbados,1972,0
Belarus,1972,0
Belgium,1972,0
Belize,1972,0
Bhutan,1972,0
Bolivia,1972,0
Bosnia and Herzegovina,1972,0
Brazil,1972,0
Bulgaria,1972,0
Burundi,1972,0
Cambodia,1972,0
Canada,1972,0
Cape Verde,1972,0
Central African Republic,1972,0
Chad,1972,0
Chile,1972,0
China,1972,0
Colombia,1972,0
Comoros,1972,0
"Congo, Dem. Rep.",1972,0
Costa Rica,1972,0
Croatia,1972,0
Cuba,1972,0
Cyprus,1972,0
Czech Republic,1972,0
Denmark,1972,0
Djibouti,1972,0
Dominica,1972,0
Dominican Republic,1972,0
Egypt,1972,0
El Salvador,1972,0
Eritrea,1972,0
Estonia,1972,0
Eswatini,1972,0
Fiji,1972,120000
Finland,1972,0
France,1972,0
Gambia,1972,0
Georgia,1972,0
Germany,1972,0
Greece,1972,0
Grenada,1972,0
Guatemala,1972,0
Guinea,1972,0
Guinea-Bissau,1972,0
Haiti,1972,0
Honduras,1972,0
Hungary,1972,0
India,1972,4530000
Indonesia,1972,0
Iran,1972,60
Ireland,1972,0
Israel,1972,0
Italy,1972,0
Jamaica,1972,0
Japan,1972,50
Jordan,1972,0
Kazakhstan,1972,0
Kenya,1972,0
Kiribati,1972,703
Kyrgyz Republic,1972,0
Lao,1972,0
Latvia,1972,0
Lebanon,1972,0
Lesotho,1972,0
Liberia,1972,0
Lithuania,1972,0
Luxembourg,1972,0
Madagascar,1972,2510000
Malawi,1972,0
Malaysia,1972,0
Maldives,1972,0
Marshall Islands,1972,0
Mauritania,1972,0
Mauritius,1972,25000
Mexico,1972,0
"Micronesia, Fed. Sts.",1972,0
Moldova,1972,0
Mongolia,1972,0
Morocco,1972,0
Mozambique,1972,0
Myanmar,1972,0
Nepal,1972,0
Netherlands,1972,0
New Zealand,1972,0
Nicaragua,1972,0
Niger,1972,0
Nigeria,1972,0
North Korea,1972,0
North Macedonia,1972,0
Norway,1972,0
Oman,1972,0
Pakistan,1972,0
Panama,1972,0
Papua New Guinea,1972,0
Paraguay,1972,0
Peru,1972,0
Philippines,1972,493000
Poland,1972,0
Portugal,1972,0
Romania,1972,0
Russia,1972,0
Samoa,1972,0
Saudi Arabia,1972,0
Senegal,1972,0
Seychelles,1972,0
Sierra Leone,1972,0
Slovak Republic,1972,0
Slovenia,1972,0
Solomon Islands,1972,0
Somalia,1972,0
South Africa,1972,0
South Korea,1972,0
Spain,1972,0
Sri Lanka,1972,0
St. Kitts and Nevis,1972,0
St. Lucia,1972,0
St. Vincent and the Grenadines,1972,0
Sudan,1972,0
Sweden,1972,0
Switzerland,1972,0
Syria,1972,0
Tajikistan,1972,0
Tanzania,1972,0
Thailand,1972,0
Timor-Leste,1972,0
Tonga,1972,0
Trinidad and Tobago,1972,0
Turkey,1972,30
Tuvalu,1972,706
Uganda,1972,0
Ukraine,1972,0
United Kingdom,1972,0
United States,1972,256
Uruguay,1972,0
Vanuatu,1972,4
Venezuela,1972,0
Vietnam,1972,0
Yemen,1972,0
Zimbabwe,1972,0
Afghanistan,1973,0
Albania,1973,0
Algeria,1973,0
Antigua and Barbuda,1973,0
Argentina,1973,360
Australia,1973,0
Austria,1973,0
Bahamas,1973,0
Bangladesh,1973,51900
Barbados,1973,0
Belarus,1973,0
Belgium,1973,0
Belize,1973,0
Bhutan,1973,0
Bolivia,1973,0
Bosnia and Herzegovina,1973,0
Brazil,1973,0
Bulgaria,1973,0
Burundi,1973,0
Cambodia,1973,0
Canada,1973,0
Cape Verde,1973,0
Central African Republic,1973,0
Chad,1973,0
Chile,1973,0
China,1973,0
Colombia,1973,0
Comoros,1973,0
"Congo, Dem. Rep.",1973,0
Costa Rica,1973,0
Croatia,1973,0
Cuba,1973,0
Cyprus,1973,0
Czech Republic,1973,0
Denmark,1973,0
Djibouti,1973,0
Dominica,1973,0
Dominican Republic,1973,0
Egypt,1973,0
El Salvador,1973,0
Eritrea,1973,0
Estonia,1973,0
Eswatini,1973,0
Fiji,1973,6210
Finland,1973,0
France,1973,0
Gambia,1973,0
Georgia,1973,0
Germany,1973,0
Greece,1973,0
Grenada,1973,0
Guatemala,1973,0
Guinea,1973,0
Guinea-Bissau,1973,0
Haiti,1973,0
Honduras,1973,0
Hungary,1973,0
India,1973,0
Indonesia,1973,1650
Iran,1973,0
Ireland,1973,0
Israel,1973,0
Italy,1973,5040
Jamaica,1973,2520
Japan,1973,101
Jordan,1973,0
Kazakhstan,1973,0
Kenya,1973,0
Kiribati,1973,0
Kyrgyz Republic,1973,0
Lao,1973,0
Latvia,1973,0
Lebanon,1973,0
Lesotho,1973,0
Liberia,1973,0
Lithuania,1973,0
Luxembourg,1973,0
Madagascar,1973,0
Malawi,1973,0
Malaysia,1973,0
Maldives,1973,0
Marshall Islands,1973,0
Mauritania,1973,0
Mauritius,1973,0
Mexico,1973,0
"Micronesia, Fed. Sts.",1973,0
Moldova,1973,0
Mongolia,1973,0
Morocco,1973,0
Mozambique,1973,0
Myanmar,1973,0
Nepal,1973,0
Netherlands,1973,0
New Zealand,1973,0
Nicaragua,1973,0
Niger,1973,0
Nigeria,1973,0
North Korea,1973,0
North Macedonia,1973,0
Norway,1973,0
Oman,1973,0
Pakistan,1973,0
Panama,1973,0
Papua New Guinea,1973,0
Paraguay,1973,0
Peru,1973,0
Philippines,1973,3450000
Poland,1973,0
Portugal,1973,11
Romania,1973,0
Russia,1973,0
Samoa,1973,0
Saudi Arabia,1973,0
Senegal,1973,0
Seychelles,1973,0
Sierra Leone,1973,0
Slovak Republic,1973,0
Slovenia,1973,0
Solomon Islands,1973,0
Somalia,1973,0
South Africa,1973,0
South Korea,1973,0
Spain,1973,19
Sri Lanka,1973,0
St. Kitts and Nevis,1973,0
St. Lucia,1973,0
St. Vincent and the Grenadines,1973,0
Sudan,1973,0
Sweden,1973,0
Switzerland,1973,0
Syria,1973,0
Tajikistan,1973,0
Tanzania,1973,0
Thailand,1973,0
Timor-Leste,1973,0
Tonga,1973,903
Trinidad and Tobago,1973,0
Turkey,1973,0
Tuvalu,1973,0
Uganda,1973,0
Ukraine,1973,0
United Kingdom,1973,0
United States,1973,296
Uruguay,1973,0
Vanuatu,1973,0
Venezuela,1973,0
Vietnam,1973,150000
Yemen,1973,0
Zimbabwe,1973,0
Afghanistan,1974,0
Albania,1974,0
Algeria,1974,0
Antigua and Barbuda,1974,0
Argentina,1974,100000
Australia,1974,45700
Austria,1974,0
Bahamas,1974,0
Bangladesh,1974,2800
Barbados,1974,0
Belarus,1974,0
Belgium,1974,0
Belize,1974,70000
Bhutan,1974,0
Bolivia,1974,0
Bosnia and Herzegovina,1974,0
Brazil,1974,0
Bulgaria,1974,0
Burundi,1974,0
Cambodia,1974,0
Canada,1974,0
Cape Verde,1974,0
Central African Republic,1974,0
Chad,1974,0
Chile,1974,0
China,1974,0
Colombia,1974,0
Comoros,1974,0
"Congo, Dem. Rep.",1974,0
Costa Rica,1974,0
Croatia,1974,0
Cuba,1974,0
Cyprus,1974,0
Czech Republic,1974,0
Denmark,1974,0
Djibouti,1974,0
Dominica,1974,0
Dominican Republic,1974,0
Egypt,1974,0
El Salvador,1974,0
Eritrea,1974,0
Estonia,1974,0
Eswatini,1974,0
Fiji,1974,0
Finland,1974,0
France,1974,0
Gambia,1974,0
Georgia,1974,0
Germany,1974,0
Greece,1974,0
Grenada,1974,0
Guatemala,1974,0
Guinea,1974,0
Guinea-Bissau,1974,0
Haiti,1974,0
Honduras,1974,608000
Hungary,1974,0
India,1974,25100
Indonesia,1974,2010
Iran,1974,0
Ireland,1974,0
Israel,1974,0
Italy,1974,0
Jamaica,1974,0
Japan,1974,334
Jordan,1974,0
Kazakhstan,1974,0
Kenya,1974,0
Kiribati,1974,0
Kyrgyz Republic,1974,0
Lao,1974,0
Latvia,1974,0
Lebanon,1974,0
Lesotho,1974,0
Liberia,1974,0
Lithuania,1974,0
Luxembourg,1974,0
Madagascar,1974,0
Malawi,1974,0
Malaysia,1974,0
Maldives,1974,0
Marshall Islands,1974,0
Mauritania,1974,0
Mauritius,1974,0
Mexico,1974,13
"Micronesia, Fed. Sts.",1974,0
Moldova,1974,0
Mongolia,1974,0
Morocco,1974,0
Mozambique,1974,0
Myanmar,1974,0
Nepal,1974,0
Netherlands,1974,0
New Zealand,1974,0
Nicaragua,1974,0
Niger,1974,0
Nigeria,1974,0
North Korea,1974,0
North Macedonia,1974,0
Norway,1974,0
Oman,1974,0
Pakistan,1974,0
Panama,1974,0
Papua New Guinea,1974,0
Paraguay,1974,0
Peru,1974,0
Philippines,1974,104000
Poland,1974,0
Portugal,1974,0
Romania,1974,0
Russia,1974,0
Samoa,1974,0
Saudi Arabia,1974,0
Senegal,1974,0
Seychelles,1974,0
Sierra Leone,1974,0
Slovak Republic,1974,0
Slovenia,1974,0
Solomon Islands,1974,0
Somalia,1974,0
South Africa,1974,0
South Korea,1974,0
Spain,1974,0
Sri Lanka,1974,0
St. Kitts and Nevis,1974,0
St. Lucia,1974,0
St. Vincent and the Grenadines,1974,0
Sudan,1974,0
Sweden,1974,0
Switzerland,1974,0
Syria,1974,0
Tajikistan,1974,0
Tanzania,1974,0
Thailand,1974,0
Timor-Leste,1974,0
Tonga,1974,0
Trinidad and Tobago,1974,50000
Turkey,1974,0
Tuvalu,1974,0
Uganda,1974,0
Ukraine,1974,0
United Kingdom,1974,0
United States,1974,352
Uruguay,1974,0
Vanuatu,1974,0
Venezuela,1974,0
Vietnam,1974,0
Yemen,1974,0
Zimbabwe,1974,0
Afghanistan,1975,0
Albania,1975,0
Algeria,1975,0
Antigua and Barbuda,1975,0
Argentina,1975,20
Australia,1975,0
Austria,1975,0
Bahamas,1975,0
Bangladesh,1975,0
Barbados,1975,0
Belarus,1975,0
Belgium,1975,0
Belize,1975,0
Bhutan,1975,0
Bolivia,1975,0
Bosnia and Herzegovina,1975,0
Brazil,1975,0
Bulgaria,1975,0
Burundi,1975,0
Cambodia,1975,0
Canada,1975,354
Cape Verde,1975,0
Central African Republic,1975,0
Chad,1975,0
Chile,1975,0
China,1975,0
Colombia,1975,0
Comoros,1975,0
"Congo, Dem. Rep.",1975,0
Costa Rica,1975,0
Croatia,1975,0
Cuba,1975,0
Cyprus,1975,0
Czech Republic,1975,0
Denmark,1975,0
Djibouti,1975,0
Dominica,1975,0
Dominican Republic,1975,0
Egypt,1975,0
El Salvador,1975,0
Eritrea,1975,0
Estonia,1975,0
Eswatini,1975,0
Fiji,1975,23000
Finland,1975,0
France,1975,0
Gambia,1975,0
Georgia,1975,0
Germany,1975,0
Greece,1975,0
Grenada,1975,0
Guatemala,1975,0
Guinea,1975,0
Guinea-Bissau,1975,0
Haiti,1975,0
Honduras,1975,0
Hungary,1975,0
India,1975,2500
Indonesia,1975,0
Iran,1975,14
Ireland,1975,0
Israel,1975,0
Italy,1975,0
Jamaica,1975,0
Japan,1975,243
Jordan,1975,0
Kazakhstan,1975,0
Kenya,1975,0
Kiribati,1975,0
Kyrgyz Republic,1975,0
Lao,1975,0
Latvia,1975,0
Lebanon,1975,0
Lesotho,1975,0
Liberia,1975,0
Lithuania,1975,0
Luxembourg,1975,0
Madagascar,1975,10100
Malawi,1975,0
Malaysia,1975,0
Maldives,1975,0
Marshall Islands,1975,0
Mauritania,1975,0
Mauritius,1975,826000
Mexico,1975,29
"Micronesia, Fed. Sts.",1975,0
Moldova,1975,0
Mongolia,1975,0
Morocco,1975,0
Mozambique,1975,0
Myanmar,1975,200
Nepal,1975,0
Netherlands,1975,0
New Zealand,1975,0
Nicaragua,1975,0
Niger,1975,0
Nigeria,1975,0
North Korea,1975,0
North Macedonia,1975,0
Norway,1975,0
Oman,1975,0
Pakistan,1975,0
Panama,1975,0
Papua New Guinea,1975,0
Paraguay,1975,0
Peru,1975,0
Philippines,1975,5260
Poland,1975,0
Portugal,1975,0
Romania,1975,0
Russia,1975,0
Samoa,1975,0
Saudi Arabia,1975,0
Senegal,1975,0
Seychelles,1975,0
Sierra Leone,1975,10000
Slovak Republic,1975,0
Slovenia,1975,0
Solomon Islands,1975,0
Somalia,1975,0
South Africa,1975,0
South Korea,1975,0
Spain,1975,0
Sri Lanka,1975,0
St. Kitts and Nevis,1975,0
St. Lucia,1975,0
St. Vincent and the Grenadines,1975,0
Sudan,1975,0
Sweden,1975,0
Switzerland,1975,0
Syria,1975,0
Tajikistan,1975,0
Tanzania,1975,0
Thailand,1975,0
Timor-Leste,1975,0
Tonga,1975,0
Trinidad and Tobago,1975,0
Turkey,1975,0
Tuvalu,1975,0
Uganda,1975,0
Ukraine,1975,0
United Kingdom,1975,0
United States,1975,302
Uruguay,1975,0
Vanuatu,1975,0
Venezuela,1975,0
Vietnam,1975,0
Yemen,1975,0
Zimbabwe,1975,11
Afghanistan,1976,0
Albania,1976,0
Algeria,1976,0
Antigua and Barbuda,1976,0
Argentina,1976,0
Australia,1976,0
Austria,1976,0
Bahamas,1976,0
Bangladesh,1976,247
Barbados,1976,0
Belarus,1976,0
Belgium,1976,0
Belize,1976,0
Bhutan,1976,0
Bolivia,1976,0
Bosnia and Herzegovina,1976,0
Brazil,1976,0
Bulgaria,1976,0
Burundi,1976,0
Cambodia,1976,0
Canada,1976,0
Cape Verde,1976,0
Central African Republic,1976,0
Chad,1976,0
Chile,1976,0
China,1976,0
Colombia,1976,0
Comoros,1976,0
"Congo, Dem. Rep.",1976,0
Costa Rica,1976,0
Croatia,1976,0
Cuba,1976,0
Cyprus,1976,0
Czech Republic,1976,0
Denmark,1976,0
Djibouti,1976,0
Dominica,1976,0
Dominican Republic,1976,0
Egypt,1976,0
El Salvador,1976,0
Eritrea,1976,0
Estonia,1976,0
Eswatini,1976,0
Fiji,1976,0
Finland,1976,0
France,1976,0
Gambia,1976,0
Georgia,1976,0
Germany,1976,0
Greece,1976,0
Grenada,1976,0
Guatemala,1976,0
Guinea,1976,0
Guinea-Bissau,1976,0
Haiti,1976,0
Honduras,1976,0
Hungary,1976,0
India,1976,600000
Indonesia,1976,25
Iran,1976,0
Ireland,1976,0
Israel,1976,0
Italy,1976,0
Jamaica,1976,0
Japan,1976,325000
Jordan,1976,0
Kazakhstan,1976,0
Kenya,1976,0
Kiribati,1976,0
Kyrgyz Republic,1976,0
Lao,1976,0
Latvia,1976,0
Lebanon,1976,0
Lesotho,1976,0
Liberia,1976,0
Lithuania,1976,0
Luxembourg,1976,0
Madagascar,1976,509000
Malawi,1976,0
Malaysia,1976,0
Maldives,1976,0
Marshall Islands,1976,0
Mauritania,1976,0
Mauritius,1976,0
Mexico,1976,577000
"Micronesia, Fed. Sts.",1976,0
Moldova,1976,0
Mongolia,1976,0
Morocco,1976,0
Mozambique,1976,0
Myanmar,1976,0
Nepal,1976,0
Netherlands,1976,0
New Zealand,1976,0
Nicaragua,1976,0
Niger,1976,0
Nigeria,1976,0
North Korea,1976,0
North Macedonia,1976,0
Norway,1976,0
Oman,1976,0
Pakistan,1976,0
Panama,1976,0
Papua New Guinea,1976,0
Paraguay,1976,0
Peru,1976,0
Philippines,1976,2710000
Poland,1976,0
Portugal,1976,0
Romania,1976,0
Russia,1976,0
Samoa,1976,0
Saudi Arabia,1976,0
Senegal,1976,0
Seychelles,1976,0
Sierra Leone,1976,0
Slovak Republic,1976,0
Slovenia,1976,0
Solomon Islands,1976,0
Somalia,1976,0
South Africa,1976,0
South Korea,1976,0
Spain,1976,0
Sri Lanka,1976,0
St. Kitts and Nevis,1976,0
St. Lucia,1976,0
St. Vincent and the Grenadines,1976,0
Sudan,1976,0
Sweden,1976,0
Switzerland,1976,0
Syria,1976,0
Tajikistan,1976,0
Tanzania,1976,0
Thailand,1976,0
Timor-Leste,1976,0
Tonga,1976,0
Trinidad and Tobago,1976,0
Turkey,1976,0
Tuvalu,1976,0
Uganda,1976,0
Ukraine,1976,0
United Kingdom,1976,0
United States,1976,0
Uruguay,1976,0
Vanuatu,1976,0
Venezuela,1976,0
Vietnam,1976,0
Yemen,1976,0
Zimbabwe,1976,0
Afghanistan,1977,0
Albania,1977,0
Algeria,1977,0
Antigua and Barbuda,1977,0
Argentina,1977,0
Australia,1977,0
Austria,1977,0
Bahamas,1977,0
Bangladesh,1977,11200
Barbados,1977,0
Belarus,1977,0
Belgium,1977,0
Belize,1977,0
Bhutan,1977,0
Bolivia,1977,0
Bosnia and Herzegovina,1977,0
Brazil,1977,110
Bulgaria,1977,0
Burundi,1977,0
Cambodia,1977,0
Canada,1977,0
Cape Verde,1977,0
Central African Republic,1977,0
Chad,1977,113
Chile,1977,16800
China,1977,0
Colombia,1977,0
Comoros,1977,0
"Congo, Dem. Rep.",1977,0
Costa Rica,1977,0
Croatia,1977,0
Cuba,1977,0
Cyprus,1977,0
Czech Republic,1977,0
Denmark,1977,0
Djibouti,1977,0
Dominica,1977,0
Dominican Republic,1977,0
Egypt,1977,0
El Salvador,1977,0
Eritrea,1977,0
Estonia,1977,0
Eswatini,1977,0
Fiji,1977,0
Finland,1977,0
France,1977,0
Gambia,1977,0
Georgia,1977,0
Germany,1977,0
Greece,1977,0
Grenada,1977,0
Guatemala,1977,0
Guinea,1977,0
Guinea-Bissau,1977,0
Haiti,1977,0
Honduras,1977,0
Hungary,1977,0
India,1977,14500000
Indonesia,1977,3060
Iran,1977,0
Ireland,1977,0
Israel,1977,0
Italy,1977,0
Jamaica,1977,0
Japan,1977,13100
Jordan,1977,0
Kazakhstan,1977,0
Kenya,1977,0
Kiribati,1977,0
Kyrgyz Republic,1977,0
Lao,1977,0
Latvia,1977,0
Lebanon,1977,0
Lesotho,1977,0
Liberia,1977,0
Lithuania,1977,0
Luxembourg,1977,0
Madagascar,1977,30000
Malawi,1977,0
Malaysia,1977,0
Maldives,1977,0
Marshall Islands,1977,0
Mauritania,1977,0
Mauritius,1977,0
Mexico,1977,50000
"Micronesia, Fed. Sts.",1977,0
Moldova,1977,0
Mongolia,1977,0
Morocco,1977,0
Mozambique,1977,54
Myanmar,1977,0
Nepal,1977,0
Netherlands,1977,0
New Zealand,1977,0
Nicaragua,1977,0
Niger,1977,0
Nigeria,1977,0
North Korea,1977,0
North Macedonia,1977,0
Norway,1977,0
Oman,1977,6700
Pakistan,1977,0
Panama,1977,0
Papua New Guinea,1977,0
Paraguay,1977,0
Peru,1977,0
Philippines,1977,158000
Poland,1977,0
Portugal,1977,0
Romania,1977,0
Russia,1977,0
Samoa,1977,0
Saudi Arabia,1977,0
Senegal,1977,0
Seychelles,1977,0
Sierra Leone,1977,0
Slovak Republic,1977,0
Slovenia,1977,0
Solomon Islands,1977,0
Somalia,1977,0
South Africa,1977,0
South Korea,1977,0
Spain,1977,0
Sri Lanka,1977,0
St. Kitts and Nevis,1977,0
St. Lucia,1977,0
St. Vincent and the Grenadines,1977,0
Sudan,1977,0
Sweden,1977,0
Switzerland,1977,0
Syria,1977,0
Tajikistan,1977,0
Tanzania,1977,0
Thailand,1977,0
Timor-Leste,1977,0
Tonga,1977,10000
Trinidad and Tobago,1977,0
Turkey,1977,0
Tuvalu,1977,0
Uganda,1977,0
Ukraine,1977,0
United Kingdom,1977,0
United States,1977,91
Uruguay,1977,0
Vanuatu,1977,0
Venezuela,1977,0
Vietnam,1977,1000
Yemen,1977,0
Zimbabwe,1977,0
Afghanistan,1978,0
Albania,1978,0
Algeria,1978,0
Antigua and Barbuda,1978,0
Argentina,1978,105
Australia,1978,105
Austria,1978,0
Bahamas,1978,0
Bangladesh,1978,1130
Barbados,1978,0
Belarus,1978,0
Belgium,1978,0
Belize,1978,6010
Bhutan,1978,0
Bolivia,1978,0
Bosnia and Herzegovina,1978,0
Brazil,1978,0
Bulgaria,1978,0
Burundi,1978,0
Cambodia,1978,0
Canada,1978,0
Cape Verde,1978,0
Central African Republic,1978,0
Chad,1978,0
Chile,1978,0
China,1978,0
Colombia,1978,0
Comoros,1978,0
"Congo, Dem. Rep.",1978,0
Costa Rica,1978,0
Croatia,1978,0
Cuba,1978,176
Cyprus,1978,0
Czech Republic,1978,0
Denmark,1978,0
Djibouti,1978,0
Dominica,1978,0
Dominican Republic,1978,0
Egypt,1978,0
El Salvador,1978,0
Eritrea,1978,0
Estonia,1978,0
Eswatini,1978,0
Fiji,1978,0
Finland,1978,0
France,1978,0
Gambia,1978,0
Georgia,1978,0
Germany,1978,0
Greece,1978,0
Grenada,1978,0
Guatemala,1978,0
Guinea,1978,0
Guinea-Bissau,1978,0
Haiti,1978,0
Honduras,1978,7500
Hungary,1978,0
India,1978,4010
Indonesia,1978,0
Iran,1978,0
Ireland,1978,0
Israel,1978,0
Italy,1978,20
Jamaica,1978,0
Japan,1978,3110
Jordan,1978,0
Kazakhstan,1978,0
Kenya,1978,0
Kiribati,1978,0
Kyrgyz Republic,1978,0
Lao,1978,0
Latvia,1978,0
Lebanon,1978,0
Lesotho,1978,0
Liberia,1978,0
Lithuania,1978,0
Luxembourg,1978,0
Madagascar,1978,18100
Malawi,1978,0
Malaysia,1978,0
Maldives,1978,0
Marshall Islands,1978,0
Mauritania,1978,0
Mauritius,1978,0
Mexico,1978,0
"Micronesia, Fed. Sts.",1978,0
Moldova,1978,0
